devontown,agenew,count(borrower)
Exmouth,79,73
Exmouth,8,392
Exmouth,80,88
Exmouth,81,84
Exmouth,82,61
Exmouth,83,60
Exmouth,84,57
Exmouth,85,51
Exmouth,86,49
Exmouth,87,39
Exmouth,88,40
Exmouth,89,23
Exmouth,9,378
Exmouth,90,21
Exmouth,91,21
Exmouth,92,10
Exmouth,93,9
Exmouth,94,9
Exmouth,95,4
Exmouth,96,9
Exmouth,97,3
Exmouth,98,1
Exmouth,99,3
Great Torrington,,420
Great Torrington,0,8
Great Torrington,1,26
Great Torrington,10,76
Great Torrington,11,101
Great Torrington,113,1
Great Torrington,12,78
Great Torrington,13,66
Great Torrington,14,62
Great Torrington,15,46
Great Torrington,16,50
Great Torrington,17,43
Great Torrington,18,43
Great Torrington,19,45
Great Torrington,2,29
Great Torrington,20,45
Great Torrington,21,43
Great Torrington,22,40
Great Torrington,23,35
Great Torrington,24,33
Great Torrington,25,52
Great Torrington,26,51
Great Torrington,27,35
Great Torrington,28,115
Great Torrington,29,36
Great Torrington,3,60
Great Torrington,30,34
Great Torrington,31,37
Great Torrington,32,41
Great Torrington,33,32
Great Torrington,34,40
Great Torrington,35,40
Great Torrington,36,62
Great Torrington,37,52
Great Torrington,38,33
Great Torrington,39,28
Great Torrington,4,71
Great Torrington,40,39
Great Torrington,41,49
Great Torrington,42,34
Great Torrington,43,38
Great Torrington,44,40
Great Torrington,45,33
Great Torrington,46,48
Great Torrington,47,44
Great Torrington,48,40
Great Torrington,49,45
Great Torrington,5,79
Great Torrington,50,37
Great Torrington,51,35
Great Torrington,52,31
Great Torrington,53,36
Great Torrington,54,20
Great Torrington,55,35
Great Torrington,56,36
Great Torrington,57,34
Great Torrington,58,50
Great Torrington,59,54
Great Torrington,6,76
Great Torrington,60,51
Great Torrington,61,33
Great Torrington,62,47
Great Torrington,63,53
Great Torrington,64,42
Great Torrington,65,53
Great Torrington,66,54
Great Torrington,67,52
Great Torrington,68,41
Great Torrington,69,60
